modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_aunicio,timestamp
"iPhone XS Apple com 512GB, Tela Super Retina HD de 5,8”, iOS 12, Dupla Câmera Traseira, Resistente à Água e Reconhecimento Facial - Dourado","R$ 9.529,00","R$ 9.529,00", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUU1v2kAQ%2FSujPeRkjL3Ogo2ErBbS9pCqUeGQGxrWA2xre1f7ESmK8t87WKHtyXofMzvv%2BU28kA%2FGjmIlyrwUmYivjhjo3ujfDJ23XdJRrN5E8j0LlxhdWM3nkxBt7uwY7ckbm2s75Ec%2FL6tGFQtVtykOh2CT17T%2BhdpGMndXaqDOpGHNboceO%2BudJ20nSfMuGuP6tuJOs33Qt%2FHD8%2FfH2WG2f3h84M%2Fm7wIGtwm%2BWDstVkVeq0y8YJ84TKNkkxeZGHG4RjNPFzsSPO%2Fgk3M9AV8CqpRfP2ewpx5hlxx5%2BEnRjAjfttARqKxuMzA%2FdlDKDLbJsW3TDuQR9h4DGY8ZTwQTrvcTtNCeEwIxx5kupM3AvIUvqA32MIMt98Kn%2F%2Bs7jRiCOY%2FUMWdPJ%2FIH0zFfYVGUzbKQi2NzVMuma%2B5lgRXWEiXJ6p7dIVpPk7uqb%2Bgj6pOdXuW%2Fcy0GI52tf52savkf8eHeUJ969OKdJc8lCtU1siC9EO9%2FACjtsbY%3D,2020-04-14
iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi Câmera 12MP,"R$ 8.359,04","R$ 8.359,04", Fev/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUV1r4zAQ%2FCtG4Lw0cfRhKXIglFyO9OVCA%2Fdwj0WWVo2oa%2Flku75S%2Bt9v67bcFfSwMzuLZnZfyBOkPsSWbAkrGFmS4bkDBLYJ9gFhl6Ib7UC2L2RMDTYuw9D12%2FV6SMY%2BQOKFcXKuCxsfP9n1PH5trN1xaz1ozp13WjpRb7iQG1866amuvFeLsJOVZmArBmCF8zXzWivPgC%2FiTrrKAwBTlmsjbC0piNo7sUjgQgI73KGr3ewpF%2FucH%2FFN01SYR0jBmtb0b7aKOiE%2FRxkiVlzxSiutZS6OPpn2dy6%2B748%2FVlSsOBWK5VxBZxKyNZ%2BMD00wLvbIxq59l%2B4PtyfElwZhEydIuCrbWbKlhZZL8mSaEbeohawKWi5Ji35wd%2BF8iS1kjGXnFLOT%2BZNJxm%2B%2BITID4BdZuP2ZlTfZVfYrrI4hO1xjDJMxfjr%2Fu8yIofpw34JDLnoP6S445Cn1rJTcSqoqEKJmHGpaW6VKJqD2GtX9EBPMaiE%2F0Ye1%2FZeFvaVBS%2FcxPc9yufmP%2BJg4QDM2JpFXbCVMTkpO8cQgyOtfnbW5Bw%3D%3D,2020-04-14
Smartphone Samsung Galaxy S10+ SM-G975F Desbloqueado 1TB Dual Chip Android 9.0 Ceramic Black,"R$ 8.999,00","R$ 8.264,05", Mai/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-s10-desbloqueado-1tb-dual-chip-android-9-0-ceramic-black/p,2020-04-14
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 8.074,15","R$ 8.074,15", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUcFu2zAM%2FRVCh54cx3Li2QkQGGvSrYcUC7YedgtUiU612ZJAS8WKov8%2BOmjanojH90jwPb6IJ6TReifWQuZSZCI%2BB2Sge6v%2FMgzkTdJRrF9Eop6JxxjDuJ7Pz0T0efAu%2Bo6sz7Uf8geaV0VRLJdl3aY4HEefSOPmj9I%2Bor2aWgMam4YNq4MiZTwFQu3PlOZd6OLmsuJKs3zQl%2FHj77v97Di7v9nfcNm%2BL2BwmeCLddBiXeRNlYkn1Sc20xT1MpeMnRomb%2Fbw6B2ClHAgD3fqH3wNoUfgk6CS5ffrDO6xV%2FATo3UKbndgEL5kVZuB%2FfEL5IJ5soEV23ZAUozUiJZUxiOjHScPCC20p6QA4VpFJKumJXvvTgp2iVTbepjBjuNhBx%2BxJ6fG0Z4cGu75rkM6WsP9hWmKVS1XpmwqrMtKGyN1163qZVeWRTc9boye8KxeNBf0Zvgw%2FQi%2B8ZOmfPick6fns7SqPzXe1FvsU69IvDJFnKWom2ah9IMUr%2F8B79KzMQ%3D%3D,2020-04-14
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Dourado","R$ 9.598,00","R$ 8.074,15", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,2020-04-14
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.074,15","R$ 8.074,15", Nov/2019,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUUtvm0AQ%2FiujPeSEMQsYY0sWapy0PTiqlebQmzUsg7MtsGjYjRpF%2Be8drLjtafU95vHNvqkX4sm6QW2VjrWKlH8dSYDprPklcGTXBOPV9k0F7kR49n6ctsvlRfAuHt3gXcvWxcb1cc3LVZIkeZ4WVfD9aXKBDe1%2BonGe7M1M9dTY0O%2FEPSJj43hkMu4iGelFg99dW9wYsffmWn768XBYnBZP94d7efZ%2FGwi4VsjGZjRqm8TlKlIv2AUJUybrPNaCB%2BznbPb47AYCreHIDh7wN3wax45AVoKVTr%2FcRvBEHcIjeTsgfL2DhqCIVlUE9tt30JnobEdx7KueGAXhRJYxkpLJTnMGggqqc0AguEVPbHFucnDDGeEuMFaVg4XMF00i%2FLt7GHCa7HmgRjjXtsQn2whf6BbrnOrCaEwordt1o%2Bu01GleNptsY8Q9ecd0cWflFX0kPs6fBJ%2Fll%2BYDycyz49eLdbX%2Bj%2Fhw76kLHbJ6F4nlmCppN01WZJl6%2FwPr4LPa,2020-04-14
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Verde","R$ 9.309,05","R$ 8.074,15", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-verde/p,2020-04-14
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Cinza Espacial","R$ 12.899,00","R$ 8.074,15", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-cinza-espacial/p,2020-04-14
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.074,15","R$ 8.074,15", Abr/2020,www.casasbahia-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUclu2zAQ%2FZUBDznJshRrSQwYQuME7cFBgzSH3owRNbLZSqQwJIMGQf69I6NqeyLeMssbvqtXYm%2BcVVuVp7lKVHibSIAejP4pcGLXRR3U9l1FHkQ4hzD57Xp9EYJLNXr0LZ4NptqNacvrMsuyoriumhjGo3eRNe1%2BoHaBzNVMjdSZOO7EPSFj53hi0u4iaWcD2bBbWlxpsY96KT9%2BfzysjquXh8ODPPu%2FDQQsFbKynrTaZulNmahXHKKkucnqIs0FWxzncObp7CxBnsMTO3jEX%2FBpmgYCWQnK%2FPrzXQIvNCA8UzAW4cs9dARVUjYJmK%2FfIN%2BIzmYSx74ZiVEQejKMiZR44%2BcMBA00p4hAcIeB2ODc5ODsCeE%2BMjaNg5XMF00i%2FDt8tOi9OVnqhHN9T3w0nfCFprqqNPW3XVEXPfWVLvO2y%2Fqqwtu2LsXtg2O6uOuiXuCfyPv5m2QT%2Baf5RDL15PjtYi7r%2F4jFTkMckNWHSCznVPWmzQrakPr4DbUatM0%3D,2020-04-14
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Cinza-Espacial","R$ 8.074,15","R$ 8.074,15", Fev/2020,www.extra-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUk1v2zAM%2FSuEDj05TpTYsRsgMNY02A4pVmw99BYwEp1qsyVBlop2Rf%2F76KDeehLeByk%2BSm%2FimcJgnBUbIXMpMhFfPTFQnVG%2FGfrgdFJRbN5ECh0LTzH6YTOfX4TocnqJAXPl%2BvwU5uVisSiKZdmk2B8Hl4Ki7S9ULpK5GqmetEn9lt0eA2oXfCDlLpJyNpKN26nFlWJ7r6by4%2BPdYXacPewPez52%2FxowmCp4WuWV2CzyuszEM3aJg9SLqsglY4v9mMvcPzlLICXcBwd3%2BAJfvO8IeCQo5fLrTQYP1CH8oGgswrdbWGdlk4H5%2FhPkisVgPMu7pqeAjHAgEzBj%2F2CGMQBBA805IRDcYKRgEDTBwdkzwm0K2DQOZrAz9g%2FO9oNHZbD7v%2FZkcRjM2ZJmzrUthaPRzNe1Wunrk74mTcuT1LVsW2yrStaqKso1sXuILtDFXa1WE%2FxIvZ8eadwRT3V24fViLatPxId5R13qMIh3loIa%2F8KyIFrzJe9%2FAZc2s90%3D,2020-04-14
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Prata","R$ 9.598,00","R$ 8.074,15", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-prata/p,2020-04-14
iPhone Xs Max Ouro 512GB IOS12 4G + Wi-fi Câmera 12MP - Apple,"R$ 7.999,20","R$ 7.999,20", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUWFr2zAU%2FCtC4HxZ4liSZdmBULyMlMFCCvuwfSuy9NSIupYn2%2FVK6X%2Fvq9eyDQR6d7oHd6dn%2Bghx8KGjO8pSRtd0fOoBgWm9uUfYx2AnM9LdM51iiw%2BXceyH3XY7Rm3uIfJUW7nMqQkPH%2Bx2Wb%2FSxuy5MQ5Kzq2zpbSiUVxI5XIrXVZWzhUrv5dVycBUDMAI6xrmyrJwDPgq7GVjG21ZAU3DKm0KbmylmNKrCNZHMOMtutovnhJRJ%2FyIZ57nVD9A9EZ3enizlTYR%2BSXKGHBiIs9ULlWeiKOLuvuViC%2F18dsmExueiYIlvIBeR2QbPmvnW69tGJANffdHWh%2FOJ8SXFmEbZohYlekN3WVpKdf0UbcTtqiqqkr5mnZoB6vzN5fQAfk5kJP%2BTc5TDEQyfv2ZfD1%2FZ5zk1%2BQT%2BeE3zpPDFfrXhPHTDdmQuu9b%2BPs1E6Ya%2FF0HFrngHMRbb5Hn2LMrbGZMLhQoyAoHGTSFykXe4IXqYQwRFrWQH%2BjdXP1fY29x9Ah3IT4tcqn%2BId43DtBOrY70BZ8iRqcluFJXeUlfXgF6L7oB,2020-04-14
